from,to,change,from_score,to_score,from_ukeire_count,to_ukeire_count,from_fixed_ryanmen_count,to_fixed_ryanmen_count
111124m,111145m,ツモ5m / 打2m,"(4, 1, 6, 8, 5.5)","(8, 2, 2, 12, 6.90909)",4,8,0,1
111124m,111224m,ツモ2m / 打1m,"(4, 1, 6, 8, 5.5)","(8, 3, 0, 8, 5.23077)",4,8,0,0
111124m,111244m,ツモ4m / 打1m,"(4, 1, 6, 8, 5.5)","(8, 3, 1, 12, 5.84615)",4,8,0,0
111124m,111246m,ツモ6m / 打1m,"(4, 1, 6, 8, 5.5)","(8, 2, 0, 8, 5.64706)",4,8,0,0
111125m,111122m,ツモ2m / 打5m,"(4, 1, 5, 8, 5.33333)","(8, 3, 0, 8, 4.33333)",4,8,0,0
111125m,111145m,ツモ4m / 打2m,"(4, 1, 5, 8, 5.33333)","(8, 2, 2, 12, 6.90909)",4,8,0,1
111125m,111156m,ツモ6m / 打2m,"(4, 1, 5, 8, 5.33333)","(8, 2, 2, 12, 6.76923)",4,8,0,1
111126m,111122m,ツモ2m / 打6m,"(4, 1, 6, 8, 5.41176)","(8, 3, 0, 8, 4.33333)",4,8,0,0
111126m,111156m,ツモ5m / 打2m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 6.76923)",4,8,0,1
111126m,111246m,ツモ4m / 打1m,"(4, 1, 6, 8, 5.41176)","(8, 2, 0, 8, 5.64706)",4,8,0,0
111126m,111267m,ツモ7m / 打1m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 6.55556)",4,8,0,1
111127m,111122m,ツモ2m / 打7m,"(4, 1, 5, 8, 5.11111)","(8, 3, 0, 8, 4.33333)",4,8,0,0
111127m,111178m,ツモ8m / 打2m,"(4, 1, 5, 8, 5.11111)","(8, 2, 2, 12, 6.46154)",4,8,0,1
111127m,111267m,ツモ6m / 打1m,"(4, 1, 5, 8, 5.11111)","(8, 2, 2, 12, 6.55556)",4,8,0,1
111128m,111122m,ツモ2m / 打8m,"(4, 1, 3, 8, 4.75)","(8, 3, 0, 8, 4.33333)",4,8,0,0
111128m,111178m,ツモ7m / 打2m,"(4, 1, 3, 8, 4.75)","(8, 2, 2, 12, 6.46154)",4,8,0,1
111129m,111122m,ツモ2m / 打9m,"(4, 1, 1, 8, 4.28571)","(8, 3, 0, 8, 4.33333)",4,8,0,0
111133m,111334m,ツモ4m / 打1m,"(8, 3, 1, 12, 5.66667)","(12, 4, 0, 12, 6.90909)",8,12,0,1
111134m,111334m,ツモ3m / 打1m,"(8, 2, 2, 12, 6.76923)","(12, 4, 0, 12, 6.90909)",8,12,1,1
111134m,111344m,ツモ4m / 打1m,"(8, 2, 2, 12, 6.76923)","(12, 4, 0, 12, 6.90909)",8,12,1,1
111135m,111356m,ツモ6m / 打1m,"(8, 2, 0, 8, 5.71429)","(8, 2, 2, 12, 7)",8,8,0,1
111136m,111133m,ツモ3m / 打6m,"(4, 1, 8, 8, 5.88235)","(8, 3, 1, 12, 5.66667)",4,8,0,0
111136m,111346m,ツモ4m / 打1m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7.05882)",4,8,0,1
111136m,111356m,ツモ5m / 打1m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7)",4,8,0,1
111136m,111367m,ツモ7m / 打1m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 6.77778)",4,8,0,1
