shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
222334m,222334m33z,階段型,1m 2m 3m 4m 5m 3z,6,16,1,0,7,6.000000,"(16, 6, 0, 7, 6)",0,12,222336m 222337m 222338m 222339m 222346m 222347m 222348m 222349m 223346m 223347m 223348m 223349m
233444m,233444m33z,階段型,1m 2m 3m 4m 5m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,233446m 233447m 233448m 233449m 234446m 234447m 234448m 234449m 334446m 334447m 334448m 334449m
333445m,333445m33z,階段型,2m 3m 4m 5m 6m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,133344m 133345m 133445m 333447m 333448m 333449m 333457m 333458m 333459m 334457m 334458m 334459m
344555m,344555m33z,階段型,2m 3m 4m 5m 6m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,134455m 134555m 144555m 344557m 344558m 344559m 345557m 345558m 345559m 445557m 445558m 445559m
444556m,444556m33z,階段型,3m 4m 5m 6m 7m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,144455m 144456m 144556m 244455m 244456m 244556m 444558m 444559m 444568m 444569m 445568m 445569m
455666m,455666m33z,階段型,3m 4m 5m 6m 7m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,145566m 145666m 155666m 245566m 245666m 255666m 455668m 455669m 456668m 456669m 556668m 556669m
555667m,555667m33z,階段型,4m 5m 6m 7m 8m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,155566m 155567m 155667m 255566m 255567m 255667m 355566m 355567m 355667m 555669m 555679m 556679m
566777m,566777m33z,階段型,4m 5m 6m 7m 8m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,156677m 156777m 166777m 256677m 256777m 266777m 356677m 356777m 366777m 566779m 567779m 667779m
666778m,666778m33z,階段型,5m 6m 7m 8m 9m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,166677m 166678m 166778m 266677m 266678m 266778m 366677m 366678m 366778m 466677m 466678m 466778m
677888m,677888m33z,階段型,5m 6m 7m 8m 9m 3z,6,16,1,0,7,6.000000,"(16, 6, 0, 7, 6)",0,12,167788m 167888m 177888m 267788m 267888m 277888m 367788m 367888m 377888m 467788m 467888m 477888m
223456m,223456m33z,ピアノ＋α型,1m 2m 4m 7m 3z,5,15,1,0,15,7.687500,"(15, 5, 0, 15, 7.6875)",0,16,223345m 223346m 223455m 223458m 223459m 223466m 223468m 224556m 224566m 224568m 224569m 233456m 234556m 234566m 234568m 234569m
233456m,233456m33z,ピアノ＋α型,1m 3m 4m 7m 3z,5,15,1,0,15,9.187500,"(15, 5, 0, 15, 9.1875)",0,16,223345m 223346m 223456m 233455m 233458m 233459m 233466m 233468m 234556m 234566m 234568m 234569m 334556m 334566m 334568m 334569m
234556m,234556m33z,ピアノ＋α型,1m 4m 5m 7m 3z,5,15,1,0,15,9.266667,"(15, 5, 0, 15, 9.26667)",0,15,223455m 223456m 224556m 233455m 233456m 234558m 234559m 234566m 234568m 234569m 245566m 334556m 345566m 345568m 345569m
234566m,234566m33z,ピアノ＋α型,1m 4m 6m 7m 3z,5,15,1,0,15,8.187500,"(15, 5, 0, 15, 8.1875)",0,16,223456m 223466m 224566m 233456m 233466m 234556m 234568m 234569m 234668m 234669m 245566m 245668m 334566m 345566m 345668m 345669m
